2026-06-16 13:20:56 | INFO     | keep_awake:18 | keep_awake: non-Windows platform — skipping SetThreadExecutionState
2026-06-16 13:20:56 | INFO     | __main__:130 | Application starting
2026-06-16 13:20:56 | INFO     | storage:89 | Database ready: mail_agent.db
2026-06-16 13:20:56 | DEBUG    | notifier:11 | Telegram not configured — skipping notification
2026-06-16 13:20:56 | INFO     | __main__:154 | Launching Chrome with persistent profile: %s
2026-06-16 13:20:56 | INFO     | __main__:96 | Bundled Chromium not found — using system Chrome
2026-06-16 13:20:58 | INFO     | zoho_client:36 | Navigating to Zoho Mail…
2026-06-16 13:21:03 | INFO     | zoho_client:43 | Already logged in
2026-06-16 13:21:03 | INFO     | watcher:84 | Watcher started — poll interval: %ds
2026-06-16 13:21:03 | DEBUG    | notifier:11 | Telegram not configured — skipping notification
2026-06-16 13:21:20 | WARNING  | zoho_client:97 | Email listing listbox not found within timeout
2026-06-16 13:21:20 | DEBUG    | watcher:98 | Poll complete — no new emails
2026-06-16 13:22:20 | WARNING  | session_monitor:39 | Session expiry detected — URL: https://accounts.zoho.in/signin?servicename=VirtualOffice&signupurl=https%3A%2F%2Fwww.zoho.com%2Fmail%2Fzohomail-pricing.html&serviceurl=https%3A%2F%2Fmail.zoho.in%2Fzm%2F#mail/folder/inbox, title: Zoho Accounts
2026-06-16 13:22:20 | INFO     | session_monitor:53 | Session expiry screenshot saved: /Users/tejaswgupta/Downloads/DRI/mail_agent/screenshots/session_expired_20260616_132220.png
2026-06-16 13:22:20 | DEBUG    | notifier:11 | Telegram not configured — skipping notification
2026-06-16 13:22:20 | DEBUG    | watcher:98 | Poll complete — no new emails
2026-06-16 13:23:20 | WARNING  | session_monitor:39 | Session expiry detected — URL: https://accounts.zoho.in/signin?servicename=VirtualOffice&signupurl=https%3A%2F%2Fwww.zoho.com%2Fmail%2Fzohomail-pricing.html&serviceurl=https%3A%2F%2Fmail.zoho.in%2Fzm%2F#mail/folder/inbox, title: Zoho Accounts
2026-06-16 13:23:21 | INFO     | session_monitor:53 | Session expiry screenshot saved: /Users/tejaswgupta/Downloads/DRI/mail_agent/screenshots/session_expired_20260616_132320.png
2026-06-16 13:23:21 | DEBUG    | notifier:11 | Telegram not configured — skipping notification
2026-06-16 13:23:21 | DEBUG    | watcher:98 | Poll complete — no new emails
2026-06-16 13:24:21 | WARNING  | session_monitor:39 | Session expiry detected — URL: https://accounts.zoho.in/signin?servicename=VirtualOffice&signupurl=https%3A%2F%2Fwww.zoho.com%2Fmail%2Fzohomail-pricing.html&serviceurl=https%3A%2F%2Fmail.zoho.in%2Fzm%2F#mail/folder/inbox, title: Zoho Accounts
2026-06-16 13:24:21 | INFO     | session_monitor:53 | Session expiry screenshot saved: /Users/tejaswgupta/Downloads/DRI/mail_agent/screenshots/session_expired_20260616_132421.png
2026-06-16 13:24:21 | DEBUG    | notifier:11 | Telegram not configured — skipping notification
2026-06-16 13:24:21 | DEBUG    | watcher:98 | Poll complete — no new emails
2026-06-16 13:25:21 | WARNING  | session_monitor:39 | Session expiry detected — URL: https://accounts.zoho.in/signin?servicename=VirtualOffice&signupurl=https%3A%2F%2Fwww.zoho.com%2Fmail%2Fzohomail-pricing.html&serviceurl=https%3A%2F%2Fmail.zoho.in%2Fzm%2F#mail/folder/inbox, title: Zoho Accounts
2026-06-16 13:25:21 | INFO     | session_monitor:53 | Session expiry screenshot saved: /Users/tejaswgupta/Downloads/DRI/mail_agent/screenshots/session_expired_20260616_132521.png
2026-06-16 13:25:21 | DEBUG    | notifier:11 | Telegram not configured — skipping notification
2026-06-16 13:25:21 | DEBUG    | watcher:98 | Poll complete — no new emails
2026-06-16 13:26:21 | WARNING  | session_monitor:39 | Session expiry detected — URL: https://accounts.zoho.in/signin?servicename=VirtualOffice&signupurl=https%3A%2F%2Fwww.zoho.com%2Fmail%2Fzohomail-pricing.html&serviceurl=https%3A%2F%2Fmail.zoho.in%2Fzm%2F#mail/folder/inbox, title: Zoho Accounts
2026-06-16 13:26:21 | INFO     | session_monitor:53 | Session expiry screenshot saved: /Users/tejaswgupta/Downloads/DRI/mail_agent/screenshots/session_expired_20260616_132621.png
2026-06-16 13:26:21 | DEBUG    | notifier:11 | Telegram not configured — skipping notification
2026-06-16 13:26:21 | DEBUG    | watcher:98 | Poll complete — no new emails
2026-06-16 13:27:21 | WARNING  | session_monitor:39 | Session expiry detected — URL: https://accounts.zoho.in/signin?servicename=VirtualOffice&signupurl=https%3A%2F%2Fwww.zoho.com%2Fmail%2Fzohomail-pricing.html&serviceurl=https%3A%2F%2Fmail.zoho.in%2Fzm%2F#mail/folder/inbox, title: Zoho Accounts
2026-06-16 13:27:21 | INFO     | session_monitor:53 | Session expiry screenshot saved: /Users/tejaswgupta/Downloads/DRI/mail_agent/screenshots/session_expired_20260616_132721.png
2026-06-16 13:27:21 | DEBUG    | notifier:11 | Telegram not configured — skipping notification
2026-06-16 13:27:21 | DEBUG    | watcher:98 | Poll complete — no new emails
2026-06-16 13:28:21 | WARNING  | session_monitor:39 | Session expiry detected — URL: https://accounts.zoho.in/signin?servicename=VirtualOffice&signupurl=https%3A%2F%2Fwww.zoho.com%2Fmail%2Fzohomail-pricing.html&serviceurl=https%3A%2F%2Fmail.zoho.in%2Fzm%2F#mail/folder/inbox, title: Zoho Accounts
2026-06-16 13:28:21 | INFO     | session_monitor:53 | Session expiry screenshot saved: /Users/tejaswgupta/Downloads/DRI/mail_agent/screenshots/session_expired_20260616_132821.png
2026-06-16 13:28:21 | DEBUG    | notifier:11 | Telegram not configured — skipping notification
2026-06-16 13:28:21 | DEBUG    | watcher:98 | Poll complete — no new emails
2026-06-16 13:29:21 | WARNING  | session_monitor:39 | Session expiry detected — URL: https://accounts.zoho.in/signin?servicename=VirtualOffice&signupurl=https%3A%2F%2Fwww.zoho.com%2Fmail%2Fzohomail-pricing.html&serviceurl=https%3A%2F%2Fmail.zoho.in%2Fzm%2F#mail/folder/inbox, title: Zoho Accounts
2026-06-16 13:29:21 | INFO     | session_monitor:53 | Session expiry screenshot saved: /Users/tejaswgupta/Downloads/DRI/mail_agent/screenshots/session_expired_20260616_132921.png
2026-06-16 13:29:21 | DEBUG    | notifier:11 | Telegram not configured — skipping notification
2026-06-16 13:29:21 | DEBUG    | watcher:98 | Poll complete — no new emails
